smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
NS(=O)(=O)c1nc2ccc(O)cc2s1	0.91	-2.29	0.65	0.80			NS(=O)(=O)c1nc2ccc(O)cc2s1
OC(CN1C3CCOCC13)Cn2ccnc2	-0.24	-1.23	0.49	0.68			OC(CN1C2CCOCC21)Cn1ccnc1
CC(=O)NC(C(=O)NC(C(N)=O)C(C)C)C(C)C	-0.41	-1.80	0.36	1.41			CC(=O)NC(C(=O)NC(C(N)=O)C(C)C)C(C)C
CC(=NOCC(=O)O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1N(=O)=O	4.51	-5.76	0.63	1.13			CC(=NOCC(=O)O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
CSCOC(=O)c1ccccc1OC(C)=O	1.72	-2.90	0.81	1.44			CSCOC(=O)c1ccccc1OC(C)=O
O=C(O)c1ccc(C(F)(F)F)cc1	2.56	-1.86	0.31	0.67			O=C(O)c1ccc(C(F)(F)F)cc1
COc1ccc2NC(=NCCCN(C)CCCN=C3Nc5ccc(OC)cc5n6cccc36)c4cccn4c2c1	4.62	-4.09	0.76	0.83			COc1ccc2[nH]c(=NCCCN(C)CCCN=c3[nH]c4ccc(OC)cc4n4cccc34)c3cccn3c2c1
COC1CC(=NS(=O)(=O)c2ccc(N)cc2)NC(C)N1	-0.30	-2.47	0.55	2.39		logS	COc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c(C)n1
CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c2ccc(F)c(Cl)c2	3.88	-5.09	0.36	1.00			CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1
Clc1cc(Cl)c2c(oc3c(Cl)cccc23)c1Cl	6.22	-5.02	0.30	0.70			Clc1cc(Cl)c2c(oc3c(Cl)cccc32)c1Cl
CCN=C1NC(Cl)NC(=N)N1	-0.14	-1.92	0.75	1.48			CCN=c1[nH]c(Cl)nc(=N)[nH]1
CC(C)(C)N(NC(=O)c1cccc(Cl)c1)C(=O)c2ccccc2Cl	3.54	-5.71	0.30	0.99			CC(C)(C)N(NC(=O)c1cccc(Cl)c1)C(=O)c1ccccc1Cl
O=N(=O)c1cn(CCN2CCOCC2)cn1	-0.03	-1.50	0.33	0.79			O=[N+]([O-])c1cn(CCN2CCOCC2)cn1
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	0.42	-2.00	0.47	1.37			O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
CC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1	2.68	-4.11	0.30	0.89			CC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1
COc1ccc(CC2CNC(=N)NC2=N)cc1OC	0.37	-3.54	0.58	1.55			COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC
CC(=O)c1ccccc1	1.65	-1.95	0.38	0.77			CC(=O)c1ccccc1
CCC(C)N1C(=O)NC(C)C(Br)C1=O	1.01	-1.87	0.65	1.98			CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
COP(=S)(OC)Oc1ccc(C#N)cc1	2.86	-3.02	0.39	1.68			COP(=S)(OC)Oc1ccc(C#N)cc1
CCN(C(=O)C(C)OC(=O)c1cc(OC)c(OC)c(OC)c1)c2ccccc2	3.19	-4.19	0.68	1.43			CCN(C(=O)C(C)OC(=O)c1cc(OC)c(OC)c(OC)c1)c1ccccc1
O=C1NC(=O)N(C2CCCO2)CC1F	-0.44	-0.37	0.43	2.39		logS	O=c1[nH]c(=O)n(C2CCCO2)cc1F
Cc1ccc(N=C=S)cc1	3.52	-3.59	0.46	0.93			Cc1ccc(N=C=S)cc1
C=CC(=C)C	2.22	-1.58	0.43	0.94			C=CC(=C)C
CCOC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	4.00	-4.47	0.37	0.71			CCOC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
CC(=O)CCCc1ccccc1	2.49	-3.30	0.47	1.11			CC(=O)CCCc1ccccc1
N=C1CCN(C2OC(CO)C(O)C2O)C(=O)N1	-2.15	-1.37	0.57	0.88			N=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
CC(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C	0.39	-3.38	0.43	1.82			CC(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C
c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO2	0.11	-4.05	0.31	1.89			c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO2
COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1	1.46	-3.40	0.67	0.77			COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1
CCCCOCc1cccc(NC(=O)OCCN2CCCCC2)c1	4.35	-3.75	0.31	1.23			CCCCOCc1cccc(NC(=O)OCCN2CCCCC2)c1
CCCC(CCC)C(=O)O	2.54	-1.79	0.30	0.82			CCCC(CCC)C(=O)O
CCCCCCCC(C)=O	3.08	-2.89	0.31	0.81			CCCCCCCC(C)=O
CCSCCOC(=O)C1C(C)NC4C(C1=C2C=CC(C(=O)OC)C=C2)=C(O)CC(c3cccs3)C4	3.76	-5.51	0.60	1.43			CCSCCOC(=O)c1c(C)nc2c(c1=C1C=CC(C(=O)OC)C=C1)=C(O)CC(c1cccs1)C2
O=C1CCC=C2OC3=CCCC(=O)C3C(c4ccc(OCc5ccccc5F)cc4)C12	5.00	-5.37	0.63	1.07			O=C1CCC=C2OC3=CCCC(=O)C3C(c3ccc(OCc4ccccc4F)cc3)C12
NCCN1CCCC1	-0.47	0.75	0.58	0.97			NCCN1CCCC1
c1ccc2c(c1)OCCOCCOCCOCCO2	0.71	-2.88	0.35	1.24			c1ccc2c(c1)OCCOCCOCCOCCO2
COc1cc(CC(=O)O)ccc1OCC2CCCCC2	3.73	-4.20	0.38	1.46			COc1cc(CC(=O)O)ccc1OCC1CCCCC1
CC1CCCN(C(=O)COC(=O)COc2cc(Cl)c(Cl)cc2Cl)C1	4.33	-4.57	0.70	1.37			CC1CCCN(C(=O)COC(=O)COc2cc(Cl)c(Cl)cc2Cl)C1
C#CCOc1c(Cl)cc(N=CNOCC#N)cc1Cl	2.79	-4.04	0.57	2.39		logS	C#CCOc1c(Cl)cc(N=CNOCC#N)cc1Cl
CC(=O)c1ccc(N(=O)=O)cc1	1.68	-2.66	0.35	0.86			CC(=O)c1ccc([N+](=O)[O-])cc1
Cc1cccc(C)c1NC(=O)c2ccc(CN3CCCCC3)cc2	3.78	-4.80	0.30	0.90			Cc1cccc(C)c1NC(=O)c1ccc(CN2CCCCC2)cc1
CC(C)CC(NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O	-0.92	-3.30	0.50	1.58			CC(C)CC(NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O
CNC(=O)N(C)C(=O)Nc1cc(c2ccccc2)ccc1F	3.76	-4.55	0.39	1.03			CNC(=O)N(C)C(=O)Nc1cc(-c2ccccc2)ccc1F
Clc1ccccc1Oc2ccccc2	4.53	-4.30	0.31	0.91			Clc1ccccc1Oc1ccccc1
O=Cc1non(=O)c1c2ccccc2	2.32	-2.16	0.41	2.39		logS	O=Cc1no[n+]([O-])c1-c1ccccc1
Nc1ccccc1C(=O)O	0.78	-1.30	0.35	0.67			Nc1ccccc1C(=O)O
COP(=O)(OC)OC(C)=CC(=O)N(C)C	-0.06	-1.17	0.58	0.66			COP(=O)(OC)OC(C)=CC(=O)N(C)C
Cc1ccc3c(c1)C(N2CCCC2=O)C(O)C(C)(C)O3	1.67	-1.38	0.82	1.17			Cc1ccc2c(c1)C(N1CCCC1=O)C(O)C(C)(C)O2
CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C	2.81	-4.35	0.42	0.62			CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
C=CCN=C1NC(Cl)NC(=NCC=C)N1	0.78	-2.30	0.75	1.84			C=CCN=c1nc(Cl)[nH]c(=NCC=C)[nH]1
CCc1ccccc1OCC(=O)O	2.27	-2.36	0.31	0.94			CCc1ccccc1OCC(=O)O
CSCCNC(=O)C(F)(F)Cn1cnc(N(=O)=O)n1	0.44	-3.51	0.32	1.01			CSCCNC(=O)C(F)(F)Cn1cnc([N+](=O)[O-])n1
Cc1cccc2C(=N)CNNc12	0.64	-2.10	0.74	1.59			Cc1cccc2c(=N)cn[nH]c12
error in CC(=NNC(=S)NNC(=S)Nc1ccccc1Cl)c1ccccn1.CN(C)C(=O)Nc1cccc(F)c1 Can't do disconnected structures.
C=COCCn1cnc2NC(=O)N(C)C(=N)c12	-0.35	-2.00	0.30	1.24			C=COCCn1cnc2[nH]c(=O)n(C)c(=N)c21
O=S(=O)(Nc1ccccc1)C(F)F	2.13	-2.14	0.37	2.39		logS	O=S(=O)(Nc1ccccc1)C(F)F
C1OCOCO1	-0.95	0.94	0.39	0.73			C1OCOCO1
O=C(Nc1ccc(Cl)cc1Cl)c2ccccc2O	4.76	-4.19	0.33	1.09			O=C(Nc1ccc(Cl)cc1Cl)c1ccccc1O
COC1=C(C)C(=O)c2ccccc2C1=O	1.82	-2.77	0.49	1.00			COC1=C(C)C(=O)c2ccccc2C1=O
O=C1CCNC2N1CCCC2	-0.14	-0.13	0.69	1.23			O=c1ccnc2n1CCCC2
COc1cc(C=O)ccc1O	1.31	-1.48	0.30	0.95			COc1cc(C=O)ccc1O
O=C(O)c1ccc(Cl)cc1	2.22	-2.15	0.33	0.61			O=C(O)c1ccc(Cl)cc1
error in CC(C)OC(=O)C(N)Cc1ccc(O)c(O)c1.O=[N+]([O-])c1cc(Cl)c(N=c2[nH]cc(C(F)(F)F)cc2Cl)c([N+](=O)[O-])c1 Can't do disconnected structures.
CC1NC(=N)NC(C(Cl)(Cl)Cl)N1	0.44	-2.43	0.61	1.65			Cc1nc(=N)nc(C(Cl)(Cl)Cl)[nH]1
Cc1c(N(C)C)cc(CC2CNC(=N)NC2=N)cc1N(C)C	1.60	-3.46	0.70	1.54			Cc1c(N(C)C)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1N(C)C
O=NN1CCC(=O)CC1	-0.43	-0.49	0.62	0.98			O=NN1CCC(=O)CC1
CCc1ccc(CC(=O)O)cc1	2.60	-2.66	0.38	1.25			CCc1ccc(CC(=O)O)cc1
CCCCC1C(=O)N(c2ccccc2)N(c3ccc(O)cc3)C1=O	2.79	-3.10	0.61	0.98			CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
CC1CN(C2CCC(CO)O2)C(=O)NC1=S	0.15	-2.05	0.42	0.90			Cc1cn(C2CCC(CO)O2)c(=O)[nH]c1=S
Clc1ccc(Oc2ccccc2)cc1	4.49	-4.33	0.30	0.96			Clc1ccc(Oc2ccccc2)cc1
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O	-1.71	-0.90	0.39	1.65			CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
CCCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl	3.69	-3.40	0.33	2.39		logS	CCCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl
error in Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1.N=c1[nH]c(=O)c2ccccc2[nH]1 Can't do disconnected structures.
N#CCCN(N)c1nc2cc(C(F)(F)F)ccc2o1	2.40	-2.83	0.88	2.39		logS	N#CCCN(N)c1nc2cc(C(F)(F)F)ccc2o1
O=Cc1ccccc1	1.60	-1.29	0.45	1.08			O=Cc1ccccc1
C=C1NCC(CO)C(=CNNC(=O)c2cccc(Br)c2)C1=O	0.78	-3.52	0.79	1.63			C=c1[nH]cc(CO)c(=CNNC(=O)c2cccc(Br)c2)c1=O
O=C1CN=C(c3ccccc3)c4cc(Cl)ccc4N1CC2CC2	3.68	-4.91	0.69	0.73			O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
CCC(C)C(NC(=O)C(CC(C)C)NC(C)=O)C(=O)NC(CCC(=O)O)C(N)=O	0.16	-3.19	0.40	1.77			CCC(C)C(NC(=O)C(CC(C)C)NC(C)=O)C(=O)NC(CCC(=O)O)C(N)=O
NC(=O)Nc1ccccc1	0.85	-1.24	0.41	0.64			NC(=O)Nc1ccccc1
C=CC(=O)NCCN1CCOCC1	-0.74	-0.43	0.36	1.23			C=CC(=O)NCCN1CCOCC1
CCOc1cccc(C2NNC(C)N(NC)C2=O)c1	0.09	-2.67	0.50	0.88			CCOc1cccc(-c2nnc(C)n(NC)c2=O)c1
N#CN=Nc1ccccc1	2.10	-2.30	0.65	1.25			N#CN=Nc1ccccc1
N([NH4])=C=NN(c1ccccn1)(Cl)=O	0.54	-2.97	1.20	2.39	logP	logS	[N-]=C=N[N+](=O)c1ccccn1
O=C(c1ccncc1)c2ccccc2O	1.68	-2.29	0.32	1.34			O=C(c1ccncc1)c1ccccc1O
CS(=O)(=O)c1cccc(C2NC(=N)NC(=N)N2)c1	-0.83	-3.19	0.76	1.55			CS(=O)(=O)c1cccc(-c2nc(=N)[nH]c(=N)[nH]2)c1
Clc1cc(Cl)cc(c2c(Cl)c(Cl)cc(Cl)c2Cl)c1	7.27	-8.21	0.30	0.60			Clc1cc(Cl)cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
Brc1ncccn1	0.92	-0.52	0.38	1.50			Brc1ncccn1
CC(=O)N(C)c1ccc(O)cc1	0.80	-1.05	0.34	1.10			CC(=O)N(C)c1ccc(O)cc1
CCC(C(N)=O)c1ccc(N2Sc3ccccc3C2=O)cc1	2.69	-4.08	0.35	1.39			CCC(C(N)=O)c1ccc(-n2sc3ccccc3c2=O)cc1
CCOc1c(OC)cc(CC2CNC(=N)NC2=N)cc1OC	0.93	-3.37	0.56	1.68			CCOc1c(OC)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC
N#CC=Cc1ccc(N(=O)=O)o1	1.42	-2.72	0.72	1.19			N#CC=Cc1ccc([N+](=O)[O-])o1
CC13CCC(=O)C=C1CCC2C3C4CC5(C(O)O4)C(C(=O)CO)CCC25	1.19	-3.54	0.83	0.86			CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13
C=C(C)C1CC=C(C=O)CC1	2.97	-2.41	0.62	0.67			C=C(C)C1CC=C(C=O)CC1
CCOC(=O)C(=Cc1ccccc1Cl)C(=O)OCC	3.75	-4.62	0.31	1.17			CCOC(=O)C(=Cc1ccccc1Cl)C(=O)OCC
C1CN2CCC1CC2	1.43	-0.15	0.61	0.90			C1CN2CCC1CC2
COc1cccc(N2CCN(CCN(C)C)C2=O)c1	1.05	-1.12	0.77	0.82			COc1cccc(N2CCN(CCN(C)C)C2=O)c1
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C	3.53	-5.27	0.64	1.42			CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
CNC(=O)Nc1cccc(Cl)c1	1.96	-2.47	0.40	1.28			CNC(=O)Nc1cccc(Cl)c1
CNC1C3CCC1c2ccccc23	1.84	-3.15	0.63	1.30			CNC1C2CCC1c1ccccc12
CSc1cccc(N=NN(C)C)c1	3.09	-2.89	0.30	1.54			CSc1cccc(N=NN(C)C)c1
COc1ccc(C)cc1	2.63	-2.35	0.30	1.03			COc1ccc(C)cc1
COc1cc(CC2CNC(=N)NC2=N)cc(OC)c1Br	1.09	-3.67	0.69	1.51			COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1Br
CC1C3Nc4ccccc4C(=O)N3CN1c2ccccc2	2.41	-2.23	0.78	1.20			CC1c2nc3ccccc3c(=O)n2CN1c1ccccc1
O=N(=O)CC1=NCCCN1Cc2ccc(Cl)nc2	1.93	-2.84	0.74	1.45			O=[N+]([O-])CC1=NCCCN1Cc1ccc(Cl)nc1
O=C(NC(=O)c1c(F)cccc1F)Nc2cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c2	5.36	-5.39	0.45	2.39		logS	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1
N#Cc1c(SCC(=O)OCc3ccccc3)nsc1SCC(=O)OCc2ccccc2	4.37	-4.87	0.74	1.23			N#Cc1c(SCC(=O)OCc2ccccc2)nsc1SCC(=O)OCc1ccccc1
Oc1ccccc1C=NN=C2CCCCN2	2.34	-2.70	0.65	2.39		logS	Oc1ccccc1C=NN=c1cccc[nH]1
CC1=NS(=O)(=O)c2cc(S(=O)(=O)N(C)C)ccc2N1	0.51	-2.76	0.61	2.39		logS	CC1=NS(=O)(=O)c2cc(S(=O)(=O)N(C)C)ccc2N1
Cc1ccc(C)c2c(C)cccc12	4.78	-5.19	0.31	0.88			Cc1ccc(C)c2c(C)cccc12
CCCCCOC(N)=O	1.38	-0.96	0.51	0.71			CCCCCOC(N)=O
NC(=O)CCCc1cccnc1	0.02	-0.90	0.30	0.88			NC(=O)CCCc1cccnc1
CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12	4.13	-4.08	0.41	1.03			CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
C=C(C)C(=O)OCc1ccccc1	2.86	-2.60	0.45	1.09			C=C(C)C(=O)OCc1ccccc1
CN=C1NCNc2sccc12	0.99	-2.19	0.78	2.39		logS	CN=c1[nH]cnc2sccc12
CCN(CC)CC(=O)NCc1ccccc1	1.77	-2.01	0.35	1.11			CCN(CC)CC(=O)NCc1ccccc1
FC(F)(F)C(F)(F)F	2.46	-2.55	0.44	1.08			FC(F)(F)C(F)(F)F
CC1(C)N=C(N)N=C(N)N1c2ccc(F)cc2	0.44	-3.16	0.50	2.39		logS	CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1
OC(c1ccc(F)cc1)(c2cncnc2)c3ccccc3Cl	2.58	-4.50	0.36	1.03			OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl
CCC1(c2ccccc2)C(=O)N=C(OC(C)C)NC1=O	2.40	-3.44	0.41	1.24			CCC1(c2ccccc2)C(=O)N=C(OC(C)C)NC1=O
error in CCc1cccc(C)c1NC(C)=O.O=Cc1ccc(O)c(O)c1 Can't do disconnected structures.
Cc1ccc(c2cc(C(F)F)n3ncc(C(=O)N4CCSCC4)c3n2)cc1	3.10	-4.31	0.62	2.39		logS	Cc1ccc(-c2cc(C(F)F)n3ncc(C(=O)N4CCSCC4)c3n2)cc1
CS(=O)(=O)c1ccc(Cl)cc1	1.22	-2.41	0.63	1.07			CS(=O)(=O)c1ccc(Cl)cc1
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O	2.20	-2.29	0.33	0.70			C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
COc1cc(CC2CNC(=N)NC2=N)ccc1C(C)(C)O	0.76	-3.26	0.65	1.51			COc1cc(Cc2c[nH]c(=N)[nH]c2=N)ccc1C(C)(C)O
Cc1nn(C)cc1c2cc(C(F)(F)F)n3nc(C(=O)N4CC(C)OC(C)C4)cc3n2	3.17	-4.24	0.68	2.39		logS	Cc1nn(C)cc1-c1cc(C(F)(F)F)n2nc(C(=O)N3CC(C)OC(C)C3)cc2n1
CCN(CC)Cc1ccc(C(=O)Nc2ccccc2C)cc1	3.24	-4.17	0.34	0.89			CCN(CC)Cc1ccc(C(=O)Nc2ccccc2C)cc1
CSC1NNC(C)C(=O)N1N	-1.32	-1.12	0.71	2.39		logS	CSc1nnc(C)c(=O)n1N
CC(=O)Nc1c(C)cc(C)cc1N(=O)=O	1.39	-3.11	0.37	0.83			CC(=O)Nc1c(C)cc(C)cc1[N+](=O)[O-]
O=N(=O)C=Cc1ccc(N(=O)=O)cc1	1.80	-3.77	0.31	2.39		logS	O=[N+]([O-])C=Cc1ccc([N+](=O)[O-])cc1
O=C(O)c1ccc(O)c(N(=O)=O)c1	1.97	-1.96	0.31	0.83			O=C(O)c1ccc(O)c([N+](=O)[O-])c1
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl	4.86	-5.61	0.39	0.95			ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl	6.40	-7.06	0.30	1.06			Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl
COc1ccc(OC)c(CC(C)N)c1	1.52	-2.19	0.30	1.69			COc1ccc(OC)c(CC(C)N)c1
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2	5.93	-5.97	0.66	0.90			CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
O=N(=O)c1ccc(Oc2ccc(C(F)(F)F)cc2N(=O)=O)cc1	3.78	-5.67	0.64	0.95			O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1
CCCCCCc1ccc(N)cc1	4.08	-4.34	0.33	1.32			CCCCCCc1ccc(N)cc1
CNS(=O)(=O)c1ccc(Cl)cc1	1.55	-2.42	0.39	1.01			CNS(=O)(=O)c1ccc(Cl)cc1
CCCN(CCC)C(=O)COC(=O)c1ccccc1	2.59	-2.78	0.37	1.06			CCCN(CCC)C(=O)COC(=O)c1ccccc1
CCC12CC3CC(CC(N)(C3)C1)C2	3.49	-3.89	0.34	2.39		logS	CCC12CC3CC(CC(N)(C3)C1)C2
Cc1cccc(Cl)c1C(=O)O	2.64	-2.73	0.42	0.83			Cc1cccc(Cl)c1C(=O)O
O=C1NC(=O)C(c2ccccc2)C1=O	0.84	-2.26	0.58	1.35			O=C1NC(=O)C(c2ccccc2)C1=O
CN(CCO)N=Nc1ccc(C(N)=O)cc1	0.81	-2.66	0.65	1.25			CN(CCO)N=Nc1ccc(C(N)=O)cc1
CCOP(N)(=O)SCC	0.26	-0.83	0.38	2.39		logS	CCOP(N)(=O)SCC
C=CCOC1(c2ccccc2)CN(C)CCO1	1.75	-1.89	0.52	1.67			C=CCOC1(c2ccccc2)CN(C)CCO1
NS(=O)(=O)C1NN2C(=Nc3ccc(Cl)cc3)SNC2S1	0.13	-1.99	1.20	2.39	logP	logS	NS(=O)(=O)c1nn2c(=Nc3ccc(Cl)cc3)snc2s1
C=CC(N)CCC(=O)O	-2.56	-0.13	0.64	0.84			C=CC(N)CCC(=O)O
CCOC(=O)C1CNC2N(C1=O)C(C)CCC2	0.43	-1.10	0.75	1.47			CCOC(=O)c1cnc2n(c1=O)C(C)CCC2
CCN(C=NC1CCN(C2CC(O)C(CO)O2)C(=O)N1)CC	-0.74	-1.66	0.79	1.10			CCN(C=Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1)CC
N=C1NCNc4c1nc(SCc2ccccc2)n4C3OC5COP(=O)(OCc6ccccc6)OC5C3O	1.67	-3.20	0.61	1.71			N=c1[nH]cnc2c1nc(SCc1ccccc1)n2C1OC2COP(=O)(OCc3ccccc3)OC2C1O
NNC(=O)c1ccnc(N(=O)=O)c1	-0.71	-1.82	0.51	1.42			NNC(=O)c1ccnc([N+](=O)[O-])c1
Cc1ccc2oc(N(N)CCC#N)nc2c1	1.26	-2.45	0.34	2.39		logS	Cc1ccc2oc(N(N)CCC#N)nc2c1
Cc1ccc(CCOCCNS(=O)(=O)CCCNCCc2ccc(O)c3NC(=O)Sc23)cc1	2.13	-4.80	0.69	1.09			Cc1ccc(CCOCCNS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1
Cc1ccccc1OC2C(=O)N(Cc4ccc6c(c4)OCO6)C2c3ccc5c(c3)OCO5	3.48	-4.58	0.68	1.25			Cc1ccccc1OC1C(=O)N(Cc2ccc3c(c2)OCO3)C1c1ccc2c(c1)OCO2
CN(C)C(=O)N(c1ccccc1)c2ccccc2	2.30	-2.78	0.64	0.99			CN(C)C(=O)N(c1ccccc1)c1ccccc1
C=Cc1ccccn1	1.48	-0.40	0.69	1.01			C=Cc1ccccn1
CC13CCC(=O)C=C1CCC2C3C(O)CC4(C)C2CCC4(O)C(=O)COC(=O)CCC(=O)O	2.17	-3.85	0.36	0.81			CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O
CC(C)NNC(=O)C(C)(C)Oc1ccccc1	1.99	-2.46	0.42	1.61			CC(C)NNC(=O)C(C)(C)Oc1ccccc1
CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1	3.16	-3.14	0.51	1.83			CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1
CCCNC(=O)c1cc2ccccc2[nH]1	2.33	-2.58	0.35	1.15			CCCNC(=O)c1cc2ccccc2[nH]1
O=C(NCCN1CCC(O)(c3ccc(Cl)cc3)CC1)c2ccc(F)cc2	2.76	-4.51	0.63	1.02			O=C(NCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CC(=O)OC(C(=O)NC1C(=O)N3C(C(=O)O)=C(C)CSC13)c2ccccc2	1.10	-3.42	0.36	1.46			CC(=O)OC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1
O=C1CCCCCCCCCCC1	4.45	-4.40	0.62	1.31			O=C1CCCCCCCCCCC1
COc1cc(C(C)(C)C)c(OC)cc1CC(C)N	3.76	-3.81	0.56	1.73			COc1cc(C(C)(C)C)c(OC)cc1CC(C)N
COc1ccc(C)c(OC)c1	2.52	-2.31	0.30	1.64			COc1ccc(C)c(OC)c1
c1ccncc1	0.70	0.49	0.57	0.68			c1ccncc1
Cc1cccn3c1nc2CCC(=N)Nc23	1.48	-2.90	0.70	2.39		logS	Cc1cccn2c1nc1ccc(=N)[nH]c12
COC(=O)NC(=O)C(O)c1ccccc1	0.81	-1.62	0.58	1.27			COC(=O)NC(=O)C(O)c1ccccc1
O=C(C=Cc1ccccc1Cl)C(F)(F)F	3.66	-4.62	0.30	1.63			O=C(C=Cc1ccccc1Cl)C(F)(F)F
CCCCCC1=NS(=O)(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1	2.18	-3.69	0.79	2.39		logS	CCCCCC1=NS(=O)(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
COC(=O)c1c(C)non1=O	0.94	-0.72	0.50	2.39		logS	COC(=O)c1c(C)no[n+]1[O-]
O=C1C=NC(c2ccccc2)c3cc(Br)ccc3N1	3.21	-4.87	0.50	1.16			O=C1C=NC(c2ccccc2)c2cc(Br)ccc2N1
CC(C)OC(=O)CS(=O)(=O)c1ccc(Cl)cc1	2.28	-3.35	0.62	0.95			CC(C)OC(=O)CS(=O)(=O)c1ccc(Cl)cc1
CCN(CC)C(=O)C1C2CC3C(OC(=O)C13)C2O	0.13	-0.26	0.77	1.41			CCN(CC)C(=O)C1C2CC3C(OC(=O)C31)C2O
CCC1CCCCN1C(=O)COc2cccc4c2CCN(Cc3ccc(Cl)cc3)C4=O	4.33	-4.74	0.69	1.08			CCC1CCCCN1C(=O)COc1cccc2c1CCN(Cc1ccc(Cl)cc1)C2=O
CCN(CC)C(=O)OCCCc1cccnc1	1.63	-1.32	0.61	1.05			CCN(CC)C(=O)OCCCc1cccnc1
CCOP(=S)(CC)Sc1ccccc1	4.94	-5.02	0.83	2.39		logS	CCOP(=S)(CC)Sc1ccccc1
